Installs by language
Date,English (United Kingdom),English (United States),French,German,Italian,Japanese,Korean,Portuguese (Brazil),Russian,Spanish,Turkish,Vietnamese
14/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
15/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
16/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
17/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
18/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
19/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
20/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
21/07/2026,2,13,0,0,1,1,1,1,2,0,0,0
22/07/2026,1,2,0,0,0,0,0,1,0,0,1,1
23/07/2026,0,2,0,0,0,0,1,0,0,0,1,0
24/07/2026,0,3,0,0,0,0,0,0,0,0,0,0
25/07/2026,0,6,0,0,0,0,0,0,0,0,0,0
26/07/2026,0,3,0,0,0,0,0,0,0,0,0,0
27/07/2026,2,4,1,0,0,0,0,1,0,1,0,0
28/07/2026,2,6,0,0,0,1,0,0,0,0,0,0
29/07/2026,0,6,0,0,0,0,0,0,0,0,0,0
30/07/2026,0,0,0,0,0,0,0,0,0,0,0,0
31/07/2026,0,2,0,0,0,0,0,0,0,0,0,0
01/08/2026,2,3,0,1,0,0,0,0,0,0,0,0
02/08/2026,2,2,0,0,0,0,0,0,0,0,0,0
03/08/2026,1,4,0,0,0,0,0,0,0,0,0,0
04/08/2026,0,1,0,0,0,0,0,0,0,0,0,0
05/08/2026,0,1,0,0,0,0,0,0,0,0,0,0
06/08/2026,0,2,0,0,0,0,0,0,0,0,0,0
07/08/2026,0,2,0,0,0,0,0,0,0,0,0,0
08/08/2026,0,0,0,0,0,0,0,0,0,0,0,0
09/08/2026,0,2,0,0,0,0,0,0,0,0,1,0
10/08/2026,0,0,0,0,0,0,0,0,0,0,0,0
11/08/2026,0,1,0,0,0,0,0,0,0,0,0,0
12/08/2026,0,0,0,0,0,0,0,0,0,0,0,0
