Uninstalls by region
Date,Algeria,Australia,Bangladesh,India,Italy,Japan,Malaysia,Turkey,United Kingdom,United States
14/07/2026,0,0,0,0,0,0,0,0,0,0
15/07/2026,0,0,0,0,0,0,0,0,0,0
16/07/2026,0,0,0,0,0,0,0,0,0,0
17/07/2026,0,0,0,0,0,0,0,0,0,0
18/07/2026,0,0,0,0,0,0,0,0,0,0
19/07/2026,0,0,0,0,0,0,0,0,0,0
20/07/2026,0,0,0,0,0,0,0,0,0,0
21/07/2026,0,0,0,0,0,1,0,0,0,2
22/07/2026,0,0,0,1,1,0,0,1,0,0
23/07/2026,0,0,0,0,0,0,0,0,0,0
24/07/2026,1,0,0,0,0,0,1,0,0,0
25/07/2026,0,0,0,0,0,0,0,0,0,1
26/07/2026,0,0,0,2,0,0,0,0,0,0
27/07/2026,0,0,0,0,0,0,0,0,0,0
28/07/2026,0,0,1,1,0,0,0,0,0,1
29/07/2026,0,0,0,0,0,0,0,0,0,0
30/07/2026,0,0,0,0,0,0,0,0,0,0
31/07/2026,0,0,0,1,0,0,0,0,0,0
01/08/2026,0,0,0,0,0,0,0,0,0,0
02/08/2026,0,0,0,1,0,0,0,0,0,1
03/08/2026,0,0,0,0,0,0,0,0,0,0
04/08/2026,0,0,0,0,0,0,0,0,0,1
05/08/2026,0,1,0,0,0,0,0,0,0,0
06/08/2026,0,0,0,2,0,0,0,0,0,0
07/08/2026,0,0,0,2,0,0,0,0,0,0
08/08/2026,0,0,0,0,0,0,0,0,0,0
09/08/2026,0,0,0,1,0,0,0,0,0,0
10/08/2026,0,0,0,0,0,0,0,0,0,0
11/08/2026,0,0,0,0,0,0,0,0,0,0
12/08/2026,0,0,0,0,0,0,0,0,1,0
